"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2019-12-12 23:15:00 +0000",4.59,8.065,9.495,3,-52,71,29.5,8.065,1046.25,291.42,55.82,6.4,1.825,1.11,4.59,9.495,3.815,7.33,8.515,19740,0.01,868.695,NA,7.33,960.805,268.525,60.185,7.595,1.07,0.895,3.815,8.515,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-12 23:30:00 +0000",4.009,6.917,7.806,12,-51.571,71,29.857,6.917,955.734,260.917,49.217,5.351,1.279,0.54,4.009,7.806,4.547,8.339,9.729,19643.429,0.02,868.499,NA,8.339,1201.03,304.557,56.604,9.43,1.596,1.094,4.547,9.729,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-12 23:45:00 +0000",3.925,6.23,7.32,21,-51,71,30,6.23,913.24,249.36,45.865,4.165,1.43,0.545,3.925,7.32,3.125,6.085,6.545,19740,0.02,868.405,NA,6.085,790.02,218.28,48.175,4.65,0.595,0.595,3.125,6.545,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 16:00:00 +0000",0.167,0.459,0.48,8,-52.429,69,30.857,0.459,235.393,60.237,6.263,0.56,0.059,0,0.167,0.48,0.114,0.321,0.431,19642.286,0.017,871.257,NA,0.321,281.43,58.04,6.753,0.727,0.116,0.116,0.114,0.431,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 16:15:00 +0000",27.119,77.007,113.783,22,-52,70.143,30.429,51.42,5586.324,1651.897,673.991,153.066,52.753,24.307,18.191,76.034,28.451,80.731,126.56,19545.143,0.02,871.277,NA,54.053,6017.424,1733.57,717.729,184.583,54.194,34.474,19.109,84.671,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 16:30:00 +0000",41.388,115.552,168.016,37,-52.5,71.75,29.25,80.586,8426.878,2480.39,989.924,223.974,75.289,35.128,29.526,117.23,43.269,121.302,189.496,19612,0.02,871.052,NA,84.271,8922.279,2607.861,1060.859,273.661,81.624,50.886,30.735,131.648,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 16:45:00 +0000",0.09,0.434,0.829,52,-52.571,72.286,29,0.434,134.154,37.45,9.833,1.59,0.539,0.26,0.09,0.829,0.064,0.68,1.514,19666.286,0.02,870.799,NA,0.68,156.837,42.394,11.706,3.123,0.941,0.69,0.064,1.514,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 17:00:00 +0000",0,0,0,67,-53,73.25,28,0,23.65,5.846,0.42,0.065,0.065,0.012,0,0,0,0,0.018,19740,0.02,870.972,NA,0,33.204,9.002,1.469,0.205,0.044,0.044,0,0.018,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 17:15:00 +0000",0,0,0,82,-53.857,74.143,28,0,21.403,5.337,0.739,0.034,0.034,0.034,0,0,0,0,0,19642.286,0.02,870.959,NA,0,31.463,7.767,1.016,0.129,0,0,0,0,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 17:30:00 +0000",0,0,0,90,-54,75,28,0,27.88,7.93,0.47,0,0,0,0,0,0,0,0,20080,0.02,870.89,NA,0,41.49,11.23,3.29,0.34,0,0,0,0,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 17:45:00 +0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 18:00:00 +0000",0.439,0.934,1.226,8,-54.857,72,31.143,0.934,298.453,77.53,9.68,1.511,0.443,0.216,0.439,1.226,0.861,1.566,2.317,19594.286,0.017,870.499,NA,1.566,442.757,111.84,13.214,2.801,1.026,0.623,0.861,2.317,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 18:15:00 +0000",0.337,0.724,0.866,22,-54,72.714,30.571,0.724,263.586,66.9,6.941,0.984,0.214,0.121,0.337,0.866,0.321,0.874,1.366,19497.143,0.02,870.131,NA,0.874,248.529,66.894,10.909,2.471,0.49,0.309,0.321,1.366,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 18:30:00 +0000",0.271,0.563,0.703,10.286,-51.857,72.286,30.429,0.563,263.507,67.354,6.977,0.627,0.304,0.093,0.271,0.703,0.247,0.754,1.04,19837.714,0.017,869.629,NA,0.754,239.863,62.987,9.421,1.42,0.309,0.166,0.247,1.04,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 18:45:00 +0000",0.282,0.594,0.898,21,-51.875,72.625,30.25,0.594,258.91,65.722,7.429,0.751,0.486,0.275,0.282,0.898,0.202,0.656,1.089,19762,0.02,869.384,NA,0.656,242.029,62.956,9.29,1.746,0.589,0.362,0.202,1.089,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 19:00:00 +0000",0.201,0.551,0.77,36,-50.143,73,30,0.551,261.891,66.836,6.544,0.787,0.323,0.259,0.201,0.77,0.31,0.944,1.413,19667.429,0.019,869.116,NA,0.944,255.683,67.827,10.916,2.231,0.607,0.354,0.31,1.413,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 19:15:00 +0000",48.025,123.564,168.464,51,-49.625,74.5,29.375,84.535,9478.721,2774.776,1046.939,208.6,64.29,29.362,33.158,115.67,47.041,124.869,180.105,19634,0.02,868.575,NA,85.651,9342.639,2750.1,1098.422,243.578,66.185,40.124,32.535,123.826,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 19:30:00 +0000",0.67,1.967,2.573,66,-48.857,76.571,28,1.967,290.643,78.121,21.541,3.204,1.011,0.171,0.67,2.573,0.56,2.139,3.606,19570.286,0.016,868.669,NA,2.139,279.319,76.389,24.076,6.17,1.829,1.32,0.56,3.606,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 19:45:00 +0000",0,0,0,81,-49.75,77.625,27.125,0,64.378,13.454,1.268,0.079,0,0,0,0,0,0,0,19655,0.02,868.41,NA,0,60.096,16.241,1.645,0.228,0,0,0,0,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-13 20:00:00 +0000",0,0,0,90,-49,78,27,0,61.16,15.87,1.91,0.48,0.27,0,0,0,0,0,0,19400,0.02,868.23,NA,0,45.91,13.42,1.86,0,0,0,0,0,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 15:45:00 +0000",0.077,0.283,0.417,4,-54,71,25.333,0.283,208.437,53.743,6.2,0.557,0.237,0,0.077,0.417,0.06,0.217,0.493,19525.333,0.013,874.95,NA,0.217,234.36,60.68,6.837,1.21,0.373,0.373,0.06,0.493,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 16:00:00 +0000",2.871,7.37,10.291,15,-56.75,73.75,23.625,5.349,768.686,217.398,63.906,12.506,4.431,1.769,2.272,7.446,0.5,0.866,1.326,19724.571,0.02,875.024,NA,0.866,322.673,75.201,9.679,1.6,0.526,0.393,0.5,1.326,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 16:15:00 +0000",37.74,100.171,145.804,30,-55.571,76.286,22.571,70.031,7705.58,2234.301,848.766,188.35,65.999,28.94,26.821,102.307,33.971,94.661,151.474,19378,0.02,875.245,NA,66.401,6922.012,2046.762,826.969,220.562,68.245,43.646,24.53,106.094,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 16:30:00 +0000",0.226,0.824,1.069,45,-55,78.125,21.625,0.824,147.972,39.886,10.098,1.636,0.346,0.126,0.226,1.069,0.201,0.993,1.734,19506.286,0.02,875.539,NA,0.993,204.361,51.85,14.524,3.013,0.861,0.613,0.201,1.734,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 16:45:00 +0000",0,0,0.009,60,-55.143,79.571,21,0,44.526,12.237,1.973,0.256,0.024,0.024,0,0.009,0,0.005,0.005,19485,0.02,875.752,NA,0.005,100.329,21.761,2.37,0.126,0,0,0,0.005,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 17:00:00 +0000",0,0,0.011,75,-55.375,80.625,20.375,0,55.894,13.455,1.876,0.242,0.074,0.024,0,0.011,0,0.029,0.089,19571.429,0.02,875.931,NA,0.029,103.497,23.431,3.039,0.424,0.1,0.044,0,0.089,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 17:15:00 +0000",0,0,0,90,-56.714,81.429,20,0,57.439,14.656,1.901,0.097,0.069,0.03,0,0,0,0.039,0.104,19677,0.02,876.14,NA,0.039,112.354,24.854,4.326,0.441,0.128,0.068,0,0.104,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-16 17:30:00 +0000",0,0,0.04,103,-55.167,82,20,0,56.265,14.565,2.403,0.24,0.142,0.042,0,0.04,0,0.067,0.087,19458.667,0.02,876.287,NA,0.067,117.625,26.085,4.433,0.6,0.075,0.075,0,0.087,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 16:30:00 +0000",4.307,6.203,6.76,7.333,-43,71,34.667,6.203,974.537,260.547,40.64,3.017,0.82,0.217,4.307,6.76,4.437,6.927,7.757,17802.667,0.02,1006.087,NA,6.927,1136.907,296.21,43.827,4.62,0.873,0.707,4.437,7.757,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 16:45:00 +0000",3.735,5.468,6.108,18,-44.75,73.125,31.5,5.468,891.689,242.498,35.9,2.664,0.876,0.336,3.735,6.108,4.096,6.311,7.156,18925,0.02,1005.859,NA,6.311,952.732,259.006,42.899,4.466,0.894,0.399,4.096,7.156,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 17:00:00 +0000",3.919,5.661,5.989,33,-42.571,74.857,30.143,5.661,895.661,243.236,36.85,1.917,0.51,0.16,3.919,5.989,4.063,6.529,7.277,18800,0.02,1005.483,NA,6.529,924.681,258.014,45.936,4.369,1.05,0.681,4.063,7.277,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 17:15:00 +0000",3.736,5.46,5.916,48,-39,75.25,30.125,5.46,862.35,232.595,34.432,2.746,0.586,0.24,3.736,5.916,4.654,7.359,8.504,18945,0.02,1005.292,NA,7.359,998.628,279.889,47.628,5.934,1.575,1.078,4.654,8.504,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 17:30:00 +0000",3.754,5.303,5.746,63.143,-38.429,76,30.143,5.303,859.387,230.963,33.34,2.229,0.593,0.271,3.754,5.746,4.367,6.976,7.993,18873.143,0.02,1005.054,NA,6.976,962.963,263.99,46.32,5.401,1.219,0.993,4.367,7.993,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-21 17:45:00 +0000",4.06,5.63,6.08,71,-38,76,30,5.63,912.51,244.46,40.2,1.69,0.66,0.44,4.06,6.08,4.72,7.13,8.19,18776,0.02,1004.94,NA,7.13,962.15,274.45,50.81,4.9,1.43,0.96,4.72,8.19,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
"2019-12-24 20:00:00 +0000",7.628,10.972,11.814,6,-51.6,69,42.4,10.972,1629.16,434.23,61.926,4.524,1.29,0.54,7.628,11.814,8.064,11.812,13.268,19740.8,0.016,993.892,NA,11.566,1766.136,477.194,63.762,8.952,1.508,1.09,7.794,13.144,43849,"Ducktown",41.829173,-87.677909,"outside","PMS5003+PMS5003+BME280"
